order_id,customer_id,product_id,quantity,order_date
1,237,5,1,2025-09-08
2,314,60,1,2024-12-11
3,432,20,4,2025-01-02
4,386,34,2,2025-01-11
5,346,14,1,2024-12-20
6,190,43,4,2025-03-16
7,170,24,3,2025-10-10
8,75,48,4,2025-06-21
9,368,30,1,2025-11-02
10,358,18,2,2025-09-01
11,431,17,2,2025-06-22
12,316,56,3,2025-06-12
13,376,13,2,2025-11-03
14,347,28,4,2025-01-01
15,222,24,3,2025-01-13
16,291,56,2,2025-06-15
17,234,50,2,2025-04-11
18,223,36,3,2025-10-26
19,139,43,4,2025-03-03
20,383,46,4,2025-05-05
21,413,39,1,2025-02-13
22,218,28,3,2025-03-24
23,313,36,4,2025-10-21
24,328,58,3,2025-04-28
25,267,20,3,2025-11-08
26,76,21,2,2025-02-25
27,31,11,1,2025-05-03
28,2,41,3,2025-04-07
29,383,16,4,2025-01-11
30,24,50,2,2025-03-17
31,10,10,2,2024-11-26
32,294,56,1,2025-09-05
33,316,27,2,2025-10-26
34,345,8,2,2025-10-27
35,351,55,4,2025-03-25
36,350,6,1,2025-03-18
37,442,38,4,2025-08-17
38,145,47,2,2025-08-24
39,423,20,2,2025-01-30
40,313,46,2,2024-11-25
41,211,37,1,2025-05-22
42,25,9,4,2025-08-29
43,357,18,2,2025-06-23
44,376,60,4,2025-03-07
45,35,58,3,2025-05-11
46,150,27,3,2025-02-13
47,299,16,3,2025-05-21
48,341,19,3,2025-06-24
49,187,36,2,2025-08-30
50,389,54,4,2025-04-15
51,371,50,2,2025-08-21
52,447,47,4,2025-02-13
53,253,21,4,2025-11-12
54,60,35,2,2024-11-30
55,385,18,1,2025-10-20
56,163,3,1,2025-09-10
57,253,41,2,2025-02-26
58,406,12,4,2025-06-03
59,57,35,1,2025-07-01
60,419,21,1,2025-03-10
61,396,31,2,2025-07-11
62,287,3,4,2025-06-01
63,314,12,3,2025-05-10
64,365,34,2,2024-11-19
65,245,39,2,2025-03-18
66,295,54,2,2025-08-12
67,412,28,3,2025-07-09
68,85,9,2,2025-06-25
69,124,17,1,2025-07-23
70,333,32,2,2024-12-19
71,45,1,4,2025-11-17
72,316,5,4,2024-11-29
73,131,50,1,2025-08-06
74,381,15,4,2025-08-29
75,205,48,3,2024-12-03
76,337,19,3,2025-06-27
77,102,6,4,2025-05-22
78,320,40,4,2025-11-08
79,161,14,3,2025-10-16
80,183,1,1,2024-12-02
81,5,31,3,2024-11-26
82,168,60,1,2024-12-15
83,61,13,3,2025-05-24
84,8,4,3,2025-07-02
85,274,30,1,2025-04-10
86,357,58,3,2025-06-03
87,42,21,2,2025-09-07
88,6,4,3,2025-06-19
89,190,55,4,2025-07-25
90,165,37,3,2025-06-04
91,435,1,4,2025-04-22
92,281,59,2,2025-11-15
93,364,4,1,2025-04-04
94,416,41,1,2025-08-19
95,379,41,3,2025-08-28
96,411,59,2,2025-11-09
97,30,5,1,2025-02-18
98,178,44,1,2024-12-28
99,115,36,1,2025-07-26
100,111,37,3,2025-10-29
101,449,26,2,2025-05-24
102,216,10,2,2025-08-11
103,95,24,4,2025-04-06
104,83,19,1,2024-12-05
105,89,36,3,2024-11-18
106,227,19,3,2025-02-06
107,145,25,2,2025-11-05
108,443,37,4,2024-11-20
109,88,55,1,2025-09-05
110,253,41,2,2025-10-18
111,130,48,1,2025-01-12
112,109,28,3,2025-03-02
113,290,30,3,2025-04-08
114,17,14,3,2025-07-04
115,72,14,2,2025-06-29
116,63,2,2,2025-06-20
117,188,48,1,2025-09-17
118,147,5,4,2025-11-18
119,252,37,1,2024-12-27
120,392,46,3,2025-07-18
121,1,34,3,2025-07-02
122,54,48,4,2025-01-08
123,125,32,3,2025-08-23
124,430,18,3,2025-03-30
125,137,37,4,2025-02-16
126,20,27,1,2024-12-23
127,375,13,3,2025-07-14
128,77,12,3,2025-01-08
129,121,33,1,2025-03-02
130,59,25,2,2024-12-04
131,30,35,1,2025-04-24
132,354,10,2,2025-07-19
133,245,5,4,2024-12-27
134,354,60,3,2024-12-06
135,304,34,3,2025-03-19
136,353,20,2,2024-11-21
137,104,33,2,2025-08-26
138,115,55,2,2025-10-09
139,98,18,3,2025-01-12
140,393,49,1,2025-03-13
141,173,16,3,2025-09-01
142,262,22,2,2025-10-25
143,275,45,2,2025-03-17
144,111,22,1,2025-04-25
145,192,20,4,2025-07-31
146,172,45,4,2025-10-18
147,26,37,3,2024-11-26
148,392,40,4,2024-12-24
